Local Time,NO,NO2,NOX,O3,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,CO,NH3
2025-02-20 22:00:00+05:30,3.07,43.9,0.0251,16.2,63.5,28.0,22.7,156.0,1.05,,,,
2025-02-20 23:00:00+05:30,4.93,46.7,0.0289,15.3,63.3,28.8,22.3,154.0,0.525,,,,
2025-02-21 00:00:00+05:30,4.0,60.6,0.0355,14.5,67.3,27.1,21.6,161.0,0.4,,,,
2025-02-21 01:00:00+05:30,14.9,65.1,0.0467,15.7,72.0,28.0,20.7,201.0,0.5,,,,
2025-02-21 02:00:00+05:30,19.1,57.5,0.0462,15.6,74.3,28.8,19.9,206.0,0.375,,,,
2025-02-21 03:00:00+05:30,7.95,48.3,0.0322,14.5,74.8,23.7,19.1,203.0,0.425,,,,
2025-02-21 04:00:00+05:30,13.7,53.8,0.0397,15.1,75.5,24.9,18.5,196.0,0.3,,,,
2025-02-21 05:00:00+05:30,13.9,45.4,0.0354,13.6,78.5,25.2,17.6,199.0,0.3,,,,
2025-02-21 06:00:00+05:30,28.5,38.3,0.0435,14.2,83.5,27.6,16.6,202.0,0.3,,,,
2025-02-21 07:00:00+05:30,52.2,33.5,0.0602,15.4,86.0,33.3,16.2,213.0,0.3,,,,
2025-02-21 08:00:00+05:30,99.1,30.3,0.0967,16.8,87.3,38.9,16.5,194.0,0.3,,,,
2025-02-21 09:00:00+05:30,102.0,50.1,0.109,18.1,81.5,39.8,19.6,180.0,0.5,,,,
2025-02-21 10:00:00+05:30,25.7,64.0,0.055,16.2,60.0,38.8,24.5,175.0,0.775,,,,
2025-02-21 11:00:00+05:30,8.88,40.4,0.0287,16.9,48.0,36.1,27.7,169.0,1.18,,,,
2025-02-21 12:00:00+05:30,4.9,22.7,0.0161,21.0,44.5,34.9,30.0,215.0,1.25,,,,
2025-02-21 13:00:00+05:30,5.58,26.7,0.0188,21.5,45.0,32.0,30.1,208.0,1.28,,,,
2025-02-21 14:00:00+05:30,3.3,37.4,0.0219,22.9,54.0,33.6,28.4,220.0,1.83,,,,
2025-02-21 15:00:00+05:30,5.43,31.0,0.0209,24.6,53.5,33.1,28.3,220.0,1.63,,,,
2025-02-21 16:00:00+05:30,5.8,23.4,0.0172,22.9,54.3,31.9,27.5,212.0,1.4,,,,
2025-02-21 17:00:00+05:30,3.4,19.3,0.0131,23.3,57.5,28.9,26.6,208.0,1.45,,,,
2025-02-21 18:00:00+05:30,1.93,26.1,0.0154,23.6,62.0,28.7,25.0,217.0,1.1,,,,
2025-02-21 19:00:00+05:30,5.1,31.8,0.0189,23.0,68.3,30.2,23.1,203.0,0.867,,,,
2025-02-21 20:00:00+05:30,3.65,39.6,0.0241,20.7,72.8,28.6,22.2,204.0,0.725,,,,
