Local Time,CO,NO,NOX,PM10,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,NO2,O3,NH3
2025-04-04 18:00:00+05:30,0.13,21.5,0.0311,103.0,36.9,7.17,3.18,32.7,92.0,1.37,,,
2025-04-04 19:00:00+05:30,0.593,22.9,0.034,112.0,49.3,9.7,3.41,31.0,93.5,1.25,,,
2025-04-04 20:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2025-04-04 21:00:00+05:30,0.023,44.5,0.0671,137.0,53.5,14.1,5.91,29.1,110.0,1.57,,,
2025-04-04 22:00:00+05:30,0.583,7.14,0.00537,147.0,57.2,15.4,5.63,28.6,105.0,1.65,,,
2025-04-04 23:00:00+05:30,1.37,12.8,0.0153,160.0,74.0,17.6,5.88,27.7,108.0,1.55,,,
2025-04-05 00:00:00+05:30,1.68,19.8,0.0252,162.0,88.4,18.9,4.2,27.3,112.0,1.69,,,
2025-04-05 01:00:00+05:30,0.036,17.5,0.0258,127.0,66.0,23.6,2.56,25.6,113.0,1.75,,,
2025-04-05 02:00:00+05:30,0.00175,16.8,0.026,112.0,59.1,25.6,2.35,25.0,107.0,1.41,,,
2025-04-05 03:00:00+05:30,0.0,18.3,0.0286,97.0,55.9,27.1,1.82,24.6,108.0,1.42,,,
2025-04-05 04:00:00+05:30,0.00025,18.4,0.0288,98.2,77.6,28.0,1.84,24.5,92.5,1.13,,,
2025-04-05 05:00:00+05:30,0.0045,18.9,0.0285,97.3,91.4,29.7,2.01,24.1,88.2,1.14,,,
2025-04-05 06:00:00+05:30,0.00475,16.1,0.0247,87.1,73.0,30.8,1.9,23.9,69.1,1.02,,,
2025-04-05 07:00:00+05:30,1.03,24.0,0.0374,85.8,58.4,31.8,2.19,23.9,51.6,0.978,,,
2025-04-05 08:00:00+05:30,1.09,39.5,0.0615,105.0,51.4,29.0,4.16,25.3,65.7,1.02,,,
2025-04-05 09:00:00+05:30,0.664,17.5,0.0211,124.0,46.3,26.4,4.87,26.8,78.1,1.23,,,
2025-04-05 10:00:00+05:30,0.103,35.3,0.0509,137.0,53.8,25.3,5.69,27.7,97.2,1.42,,,
2025-04-05 11:00:00+05:30,0.0095,26.2,0.0339,142.0,55.1,20.9,5.79,29.6,77.9,1.16,,,
2025-04-05 12:00:00+05:30,0.0025,24.2,0.0308,133.0,50.9,16.3,6.08,31.0,72.4,1.31,,,
2025-04-05 13:00:00+05:30,0.976,17.0,0.0213,124.0,57.3,13.8,5.72,31.9,55.7,1.32,,,
2025-04-05 14:00:00+05:30,1.24,23.0,0.0299,119.0,60.9,12.4,5.73,32.6,61.0,1.35,,,
2025-04-05 15:00:00+05:30,1.46,20.9,0.024,110.0,55.7,11.8,5.16,32.9,87.3,1.39,,,
2025-04-05 16:00:00+05:30,0.843,32.5,0.0453,102.0,48.8,10.9,4.85,33.1,69.1,1.31,,,
2025-04-05 17:00:00+05:30,0.366,32.3,0.0412,98.1,43.7,10.4,5.48,32.8,86.7,1.5,,,
2025-04-05 18:00:00+05:30,0.323,30.9,0.0384,97.0,36.4,12.0,5.0,31.9,94.2,1.45,,,
2025-04-05 19:00:00+05:30,0.802,25.8,0.0311,102.0,33.6,14.3,6.33,30.3,77.7,0.995,,,
2025-04-05 20:00:00+05:30,1.34,30.2,0.039,108.0,42.8,17.9,8.0,28.8,80.9,0.768,,,
2025-04-05 21:00:00+05:30,1.45,28.8,0.0318,120.0,53.1,19.5,7.02,28.1,92.2,0.87,,,
2025-04-05 22:00:00+05:30,1.17,31.7,0.0352,156.0,65.3,19.5,7.23,27.9,102.0,1.09,,,
2025-04-05 23:00:00+05:30,0.708,28.5,0.0325,166.0,84.6,19.3,7.32,27.6,109.0,1.09,,,
2025-04-06 00:00:00+05:30,0.727,28.1,0.0276,161.0,93.0,19.3,7.26,27.4,109.0,1.14,,,
2025-04-06 01:00:00+05:30,0.726,29.0,0.0369,158.0,82.0,24.5,7.18,25.5,82.0,0.835,,,
2025-04-06 02:00:00+05:30,0.722,29.1,0.035,157.0,74.0,26.1,7.22,25.1,78.3,0.725,,,
2025-04-06 03:00:00+05:30,0.77,27.4,0.0305,149.0,63.9,28.8,7.37,24.6,79.8,0.798,,,
2025-04-06 04:00:00+05:30,0.824,24.5,0.0256,139.0,67.1,30.0,7.41,24.3,40.3,0.823,,,
2025-04-06 05:00:00+05:30,1.08,26.2,0.0283,134.0,61.4,32.7,7.61,23.7,225.0,0.89,,,
2025-04-06 06:00:00+05:30,1.04,33.8,0.0362,142.0,64.1,35.6,7.8,23.1,247.0,0.843,,,
2025-04-06 07:00:00+05:30,1.24,27.3,0.0167,166.0,79.7,36.4,7.02,23.1,313.0,0.96,,,
2025-04-06 08:00:00+05:30,2.27,18.6,0.011,207.0,95.6,29.8,6.22,25.6,336.0,1.43,,,
2025-04-06 09:00:00+05:30,3.21,7.21,0.00492,229.0,105.0,24.4,3.51,28.1,108.0,1.01,,,
2025-04-06 10:00:00+05:30,3.42,17.3,0.0245,217.0,106.0,20.9,3.01,30.0,31.4,0.975,,,
2025-04-06 11:00:00+05:30,3.24,19.1,0.0272,206.0,112.0,16.6,2.67,31.8,102.0,0.873,,,
2025-04-06 12:00:00+05:30,2.47,25.2,0.0386,187.0,108.0,14.1,2.83,32.6,93.3,1.34,,,
2025-04-06 13:00:00+05:30,0.978,29.1,0.0405,151.0,80.0,12.8,4.33,33.6,83.9,0.997,,,
2025-04-06 14:00:00+05:30,1.0,21.5,0.0299,135.0,68.5,9.83,5.22,34.5,86.7,1.28,,,
2025-04-06 15:00:00+05:30,0.857,20.0,0.0265,123.0,57.9,9.19,5.43,34.6,107.0,1.55,,,
2025-04-06 16:00:00+05:30,0.684,22.3,0.0298,109.0,44.2,8.71,5.56,35.0,106.0,1.46,,,
2025-04-06 17:00:00+05:30,0.57,24.8,0.0361,96.9,41.7,8.94,5.21,34.6,105.0,1.38,,,
2025-04-06 18:00:00+05:30,0.513,28.4,0.041,92.0,41.6,10.7,5.94,33.5,126.0,1.62,,,
2025-04-06 19:00:00+05:30,1.02,27.6,0.0373,103.0,40.3,17.1,7.83,30.6,214.0,0.698,,,
2025-04-06 20:00:00+05:30,1.07,26.0,0.0344,121.0,48.4,28.1,8.57,26.9,116.0,0.638,,,
2025-04-06 21:00:00+05:30,1.34,23.4,0.0297,134.0,63.5,33.2,7.71,25.5,53.7,0.867,,,
2025-04-06 22:00:00+05:30,1.93,26.4,0.0305,169.0,75.8,38.4,7.29,24.8,134.0,0.643,,,
2025-04-06 23:00:00+05:30,0.593,37.7,0.0311,188.0,83.0,41.7,7.71,24.5,130.0,0.538,,,
2025-04-07 00:00:00+05:30,0.742,48.2,0.0421,196.0,92.9,45.0,8.15,23.9,317.0,0.95,,,
2025-04-07 01:00:00+05:30,2.3,36.0,0.0374,212.0,107.0,46.0,8.17,23.3,331.0,0.67,,,
2025-04-07 02:00:00+05:30,2.56,44.7,0.0366,223.0,96.7,49.1,8.69,23.0,90.5,0.485,,,
2025-04-07 03:00:00+05:30,2.81,64.5,0.0383,232.0,95.7,53.3,9.6,22.6,67.6,0.68,,,
2025-04-07 04:00:00+05:30,2.43,60.7,0.041,226.0,109.0,52.7,9.88,22.5,244.0,0.413,,,
2025-04-07 05:00:00+05:30,2.21,56.9,0.0374,227.0,97.2,54.4,10.1,22.3,254.0,0.52,,,
2025-04-07 06:00:00+05:30,2.17,62.8,0.032,232.0,81.7,57.6,10.4,21.9,184.0,0.775,,,
2025-04-07 07:00:00+05:30,2.79,49.8,0.015,246.0,93.3,44.8,10.7,24.3,298.0,0.905,,,
2025-04-07 08:00:00+05:30,2.85,29.8,0.0229,256.0,96.0,30.0,10.2,27.5,277.0,1.04,,,
2025-04-07 09:00:00+05:30,2.45,20.5,0.0289,262.0,104.0,21.4,8.55,29.7,271.0,1.78,,,
2025-04-07 10:00:00+05:30,0.928,34.1,0.0522,256.0,112.0,17.1,8.47,31.4,247.0,1.29,,,
2025-04-07 11:00:00+05:30,0.13,30.0,0.0425,249.0,95.5,15.4,9.36,32.8,263.0,1.09,,,
2025-04-07 12:00:00+05:30,0.126,21.8,0.0283,228.0,75.8,12.8,8.9,34.3,250.0,1.0,,,
2025-04-07 13:00:00+05:30,0.919,19.4,0.0247,190.0,72.8,11.0,8.18,35.0,240.0,1.05,,,
2025-04-07 14:00:00+05:30,0.48,18.6,0.022,162.0,66.4,9.81,7.93,36.0,184.0,0.678,,,
2025-04-07 15:00:00+05:30,0.362,22.4,0.0311,153.0,60.0,8.66,7.61,36.5,223.0,0.837,,,
2025-04-07 16:00:00+05:30,0.491,23.2,0.032,134.0,48.6,8.46,7.79,36.6,239.0,0.967,,,
2025-04-07 17:00:00+05:30,0.591,21.9,0.0294,123.0,54.9,9.2,7.33,36.0,139.0,1.08,,,
2025-04-07 18:00:00+05:30,0.845,18.1,0.0242,129.0,57.3,12.0,7.47,34.6,138.0,1.2,,,
2025-04-07 19:00:00+05:30,1.2,19.5,0.0277,130.0,54.6,17.0,7.53,32.2,137.0,0.745,,,
2025-04-07 20:00:00+05:30,1.25,23.7,0.0345,143.0,73.0,23.8,10.3,29.3,199.0,0.74,,,
2025-04-07 21:00:00+05:30,1.86,22.3,0.0312,159.0,90.0,23.0,8.64,29.4,131.0,0.817,,,
2025-04-07 22:00:00+05:30,1.87,21.1,0.0274,186.0,92.1,25.8,8.6,28.6,174.0,0.47,,,
2025-04-07 23:00:00+05:30,1.65,23.8,0.0314,210.0,93.4,27.2,10.7,27.9,147.0,0.537,,,
2025-04-08 00:00:00+05:30,1.32,21.9,0.0284,213.0,,30.9,10.0,26.8,348.0,0.37,,,
2025-04-08 01:00:00+05:30,0.503,26.5,0.0359,183.0,68.2,32.4,9.73,26.1,50.1,0.13,,,
2025-04-08 02:00:00+05:30,0.457,31.1,0.0427,187.0,79.8,30.4,9.73,26.3,147.0,0.513,,,
2025-04-08 03:00:00+05:30,0.323,26.7,0.0352,188.0,80.5,24.0,9.42,27.4,251.0,0.995,,,
2025-04-08 04:00:00+05:30,0.37,23.5,0.0307,183.0,74.1,27.9,9.23,26.2,277.0,1.1,,,
2025-04-08 05:00:00+05:30,0.356,22.7,0.0254,178.0,82.5,28.4,8.87,26.3,271.0,1.39,,,
2025-04-08 06:00:00+05:30,0.255,24.4,0.0312,171.0,73.2,29.9,8.83,26.1,254.0,1.0,,,
2025-04-08 07:00:00+05:30,0.593,19.1,0.0226,173.0,67.4,30.7,8.68,26.1,265.0,1.14,,,
2025-04-08 08:00:00+05:30,1.66,7.94,0.00597,184.0,86.7,29.2,7.54,27.4,261.0,1.31,,,
2025-04-08 09:00:00+05:30,2.23,15.7,0.0218,201.0,116.0,27.2,6.18,28.7,269.0,2.1,,,
2025-04-08 10:00:00+05:30,2.8,18.5,0.0274,212.0,117.0,26.1,5.96,30.0,271.0,2.19,,,
2025-04-08 11:00:00+05:30,2.57,28.0,0.0418,222.0,99.2,22.8,6.32,32.0,260.0,1.51,,,
2025-04-08 12:00:00+05:30,1.68,20.7,0.0298,225.0,89.5,18.0,6.42,33.7,273.0,1.87,,,
2025-04-08 13:00:00+05:30,0.18,21.6,0.0306,216.0,64.4,16.3,6.65,34.9,262.0,1.3,,,
2025-04-08 14:00:00+05:30,0.012,31.2,0.0466,214.0,59.6,12.7,6.2,35.2,293.0,2.34,,,
2025-04-08 15:00:00+05:30,0.02,23.2,0.0316,192.0,75.6,15.3,6.22,35.7,289.0,1.55,,,
2025-04-08 16:00:00+05:30,0.031,18.7,0.0241,182.0,53.6,14.7,6.49,36.0,242.0,0.82,,,
2025-04-08 17:00:00+05:30,0.165,18.8,0.0242,178.0,56.5,19.7,6.46,35.2,168.0,1.01,,,
2025-04-08 18:00:00+05:30,0.396,17.9,0.0233,175.0,59.7,23.3,6.12,33.6,166.0,0.843,,,
2025-04-08 19:00:00+05:30,1.02,20.3,0.0276,180.0,76.9,26.8,6.97,32.2,163.0,0.653,,,
2025-04-08 20:00:00+05:30,1.46,16.8,0.0219,190.0,94.9,31.3,7.17,31.1,192.0,0.595,,,
2025-04-08 21:00:00+05:30,1.95,17.7,0.0251,205.0,104.0,34.8,6.85,30.4,200.0,0.455,,,
2025-04-08 22:00:00+05:30,2.14,15.0,0.0203,223.0,112.0,37.6,5.68,29.8,208.0,0.495,,,
2025-04-08 23:00:00+05:30,1.61,21.6,0.0332,229.0,110.0,37.2,6.87,29.6,217.0,0.805,,,
2025-04-09 00:00:00+05:30,0.037,34.9,0.054,228.0,111.0,37.9,8.36,29.3,223.0,0.69,,,
2025-04-09 01:00:00+05:30,0.859,26.3,0.0347,216.0,66.9,38.2,7.04,28.7,257.0,1.18,,,
2025-04-09 02:00:00+05:30,0.854,24.0,0.0284,215.0,58.9,38.3,6.9,28.5,259.0,1.3,,,
2025-04-09 03:00:00+05:30,0.869,27.8,0.0344,206.0,61.9,38.4,7.12,28.1,251.0,0.923,,,
2025-04-09 04:00:00+05:30,0.814,26.1,0.0336,191.0,78.5,39.3,6.63,27.7,276.0,1.74,,,
2025-04-09 05:00:00+05:30,0.816,20.0,0.0233,185.0,77.8,41.5,6.81,27.3,283.0,1.32,,,
2025-04-09 06:00:00+05:30,0.772,22.5,0.0266,181.0,71.6,39.4,6.79,27.6,284.0,1.96,,,
2025-04-11 20:00:00+05:30,2.33,15.7,0.0218,293.0,74.9,67.5,7.75,20.9,76.7,1.35,,,
2025-04-11 21:00:00+05:30,2.78,16.5,0.024,150.0,66.9,78.0,5.29,20.1,71.1,1.23,,,
2025-04-11 22:00:00+05:30,3.13,17.1,0.0266,153.0,79.1,61.0,3.96,21.8,145.0,1.75,,,
2025-04-11 23:00:00+05:30,3.02,17.8,0.028,71.1,71.0,57.3,3.61,21.9,194.0,0.995,,,
2025-04-12 00:00:00+05:30,3.15,18.6,0.0299,49.3,70.7,62.2,3.36,21.2,303.0,0.62,,,
2025-04-12 01:00:00+05:30,1.54,18.0,0.0234,119.0,92.0,65.2,4.36,20.9,140.0,2.52,,,
2025-04-12 02:00:00+05:30,1.57,16.6,0.0271,125.0,92.2,68.4,3.8,20.5,131.0,1.68,,,
2025-04-12 03:00:00+05:30,1.61,18.0,0.0279,103.0,74.2,69.6,3.67,20.2,178.0,0.708,,,
2025-04-12 04:00:00+05:30,1.72,19.1,0.0285,88.1,85.8,69.9,3.18,20.2,145.0,1.26,,,
2025-04-12 05:00:00+05:30,1.86,18.6,0.0273,67.8,65.5,68.8,3.31,20.2,151.0,1.18,,,
2025-04-12 06:00:00+05:30,1.51,20.9,0.0316,59.4,94.3,68.5,3.18,20.1,228.0,0.567,,,
2025-04-12 07:00:00+05:30,0.629,26.3,0.0407,63.3,149.0,62.7,5.01,21.3,283.0,1.4,,,
2025-04-12 08:00:00+05:30,1.46,14.6,0.0201,78.2,89.7,53.2,4.5,23.4,224.0,1.25,,,
2025-04-12 09:00:00+05:30,1.94,18.0,0.026,70.1,57.3,48.1,4.22,24.8,232.0,0.963,,,
2025-04-12 10:00:00+05:30,2.03,21.6,0.0334,71.4,40.8,44.5,4.7,25.8,274.0,1.68,,,
2025-04-12 11:00:00+05:30,1.54,22.6,0.0362,82.1,33.2,38.2,5.37,27.2,286.0,1.29,,,
2025-04-12 12:00:00+05:30,0.881,17.6,0.0267,84.8,29.2,32.7,6.31,29.0,265.0,0.89,,,
2025-04-12 13:00:00+05:30,1.06,17.1,0.0259,80.7,27.2,28.1,5.93,30.0,288.0,1.23,,,
2025-04-12 14:00:00+05:30,0.218,20.6,0.0344,75.0,26.3,24.9,6.46,30.8,295.0,1.09,,,
2025-04-12 16:00:00+05:30,0.167,33.7,0.0454,73.4,25.5,23.2,10.9,31.3,222.0,0.835,,,
2025-04-12 17:00:00+05:30,0.105,1.36,0.0,40.1,12.7,10.9,3.46,15.5,75.5,0.328,,,
2025-04-12 18:00:00+05:30,0.231,16.1,0.0162,76.9,25.3,24.2,6.61,30.6,144.0,0.967,,,
2025-04-12 19:00:00+05:30,0.944,19.9,0.025,74.8,25.2,31.1,7.03,29.3,145.0,2.0,,,
2025-04-12 20:00:00+05:30,0.642,10.1,0.0136,52.7,18.3,17.6,4.24,13.8,75.6,0.645,,,
2025-04-12 21:00:00+05:30,1.28,23.4,0.0326,105.0,44.3,36.6,8.24,27.1,143.0,1.7,,,
2025-04-12 22:00:00+05:30,0.832,22.2,0.0357,86.3,63.0,34.2,8.58,26.5,141.0,3.07,,,
2025-04-13 07:00:00+05:30,0.82,27.5,0.0391,77.8,49.4,43.7,11.8,23.3,129.0,1.03,,,
2025-04-13 08:00:00+05:30,0.635,22.7,0.0296,89.4,57.3,38.2,10.1,25.0,145.0,0.77,,,
2025-04-13 09:00:00+05:30,0.877,18.5,0.0231,111.0,58.6,31.1,8.47,27.9,253.0,0.418,,,
2025-04-13 10:00:00+05:30,1.41,21.8,0.0304,119.0,89.1,29.9,9.04,29.5,146.0,0.855,,,
2025-04-13 11:00:00+05:30,1.72,20.3,0.0285,132.0,63.6,27.4,8.83,30.7,160.0,1.01,,,
2025-04-13 12:00:00+05:30,1.67,20.5,0.0293,134.0,60.6,21.9,8.82,31.8,162.0,0.955,,,
2025-04-13 13:00:00+05:30,0.735,24.2,0.037,123.0,63.7,18.6,8.68,32.8,117.0,0.935,,,
2025-04-13 14:00:00+05:30,0.939,20.4,0.029,117.0,49.2,18.0,8.78,32.8,146.0,0.995,,,
2025-04-13 15:00:00+05:30,1.03,21.5,0.0294,105.0,42.3,17.1,8.4,32.9,124.0,1.37,,,
2025-04-13 16:00:00+05:30,1.1,22.5,0.0313,97.6,51.3,16.9,8.44,32.9,214.0,0.71,,,
2025-04-13 17:00:00+05:30,1.89,16.1,0.0214,100.0,46.4,16.7,7.43,32.8,155.0,0.737,,,
2025-04-13 18:00:00+05:30,2.59,16.1,0.0213,102.0,56.4,20.3,7.72,31.5,148.0,0.805,,,
2025-04-13 19:00:00+05:30,0.634,21.2,0.0327,93.0,56.3,26.9,11.6,29.3,100.0,0.468,,,
2025-04-13 20:00:00+05:30,0.214,25.5,0.0397,99.1,91.7,38.0,15.4,26.8,87.3,0.673,,,
2025-04-13 21:00:00+05:30,0.299,18.2,0.0223,102.0,62.7,44.0,9.1,25.4,280.0,0.753,,,
2025-04-13 22:00:00+05:30,0.484,23.1,0.0294,103.0,59.0,48.6,9.24,24.6,255.0,0.655,,,
2025-04-13 23:00:00+05:30,0.85,33.1,0.0344,116.0,97.0,49.4,9.35,24.4,74.2,0.678,,,
2025-04-14 00:00:00+05:30,0.989,27.4,0.0223,127.0,70.1,49.6,10.8,24.1,31.2,0.63,,,
2025-04-14 01:00:00+05:30,2.63,38.8,0.0349,173.0,82.6,51.2,11.5,23.4,38.5,0.765,,,
2025-04-14 02:00:00+05:30,2.53,35.6,0.0311,193.0,102.0,54.2,11.5,23.0,15.8,0.858,,,
2025-04-14 03:00:00+05:30,2.2,33.9,0.0288,195.0,83.6,55.1,11.8,23.0,293.0,0.85,,,
2025-04-14 04:00:00+05:30,1.71,26.5,0.0276,186.0,65.7,53.8,11.7,23.0,158.0,0.41,,,
2025-04-14 05:00:00+05:30,1.36,22.8,0.0305,161.0,81.9,51.6,11.6,23.3,200.0,0.61,,,
2025-04-14 06:00:00+05:30,1.09,21.5,0.0316,143.0,59.4,42.1,11.1,24.7,245.0,0.775,,,
2025-04-14 07:00:00+05:30,1.52,20.4,0.0278,155.0,55.8,47.2,10.3,24.4,259.0,1.09,,,
2025-04-14 08:00:00+05:30,1.68,26.0,0.0361,158.0,67.0,49.5,10.8,24.9,271.0,2.26,,,
2025-04-14 09:00:00+05:30,1.82,22.4,0.0275,166.0,87.8,45.3,10.4,26.2,274.0,2.36,,,
2025-04-14 10:00:00+05:30,2.03,19.1,0.0246,171.0,85.4,38.7,9.76,28.0,275.0,2.02,,,
2025-04-14 11:00:00+05:30,2.26,19.8,0.027,166.0,61.8,33.2,9.46,29.6,271.0,1.98,,,
2025-04-14 12:00:00+05:30,2.65,19.7,0.0287,157.0,56.1,28.5,8.39,30.9,286.0,2.03,,,
2025-04-14 13:00:00+05:30,0.807,18.2,0.0252,150.0,49.1,25.2,7.97,32.3,270.0,1.65,,,
2025-04-15 04:00:00+05:30,1.19,18.0,0.0279,157.0,94.4,40.9,5.75,25.7,263.0,0.557,,,
2025-04-15 05:00:00+05:30,1.08,16.8,0.0267,155.0,115.0,44.5,5.59,24.8,248.0,0.473,,,
2025-04-15 06:00:00+05:30,1.09,19.4,0.0299,150.0,120.0,43.3,5.59,25.0,294.0,0.85,,,
2025-04-15 07:00:00+05:30,1.12,29.7,0.0465,142.0,78.0,43.2,6.95,25.4,283.0,0.893,,,
2025-04-15 08:00:00+05:30,0.215,32.7,0.0506,141.0,57.7,37.3,8.37,27.1,281.0,1.93,,,
2025-04-15 09:00:00+05:30,0.213,23.7,0.0338,147.0,47.9,32.7,8.36,28.1,287.0,2.97,,,
2025-04-15 10:00:00+05:30,0.21,21.5,0.0284,133.0,38.8,29.3,8.62,29.6,288.0,3.17,,,
2025-04-15 11:00:00+05:30,0.21,26.1,0.0373,132.0,33.0,26.5,7.78,30.8,283.0,2.83,,,
2025-04-15 12:00:00+05:30,0.211,26.9,0.0395,129.0,32.4,22.0,8.25,32.0,270.0,2.3,,,
2025-04-15 13:00:00+05:30,1.08,21.3,0.0283,117.0,34.0,19.7,7.47,32.9,259.0,1.53,,,
2025-04-15 14:00:00+05:30,0.784,22.8,0.0287,112.0,36.8,19.5,8.02,33.4,249.0,1.03,,,
2025-04-15 15:00:00+05:30,0.794,24.4,0.0333,105.0,35.5,19.6,9.3,33.6,239.0,0.995,,,
2025-04-15 16:00:00+05:30,0.809,19.9,0.0256,104.0,30.4,19.7,9.83,33.5,293.0,1.58,,,
2025-04-15 17:00:00+05:30,1.02,21.1,0.0265,105.0,27.8,21.5,8.81,33.0,273.0,1.14,,,
2025-04-15 18:00:00+05:30,1.86,7.91,0.00719,101.0,26.5,23.1,9.02,32.3,242.0,0.688,,,
2025-04-16 09:00:00+05:30,3.34,8.79,0.00362,179.0,29.0,31.7,10.3,29.5,310.0,2.67,,,
2025-04-16 10:00:00+05:30,3.32,15.2,0.0199,182.0,27.9,29.5,9.52,30.6,296.0,2.38,,,
2025-04-16 11:00:00+05:30,3.43,23.4,0.035,184.0,26.6,26.5,9.24,31.8,284.0,2.26,,,
2025-04-16 12:00:00+05:30,3.32,22.9,0.0346,176.0,25.9,23.7,8.61,32.8,293.0,2.31,,,
2025-04-16 13:00:00+05:30,1.28,25.1,0.0367,165.0,25.5,21.8,8.75,33.5,291.0,1.99,,,
2025-04-16 14:00:00+05:30,1.01,26.8,0.0398,151.0,25.4,20.2,8.96,34.3,139.0,0.96,,,
2025-04-16 16:00:00+05:30,0.813,0.138,0.000175,133.0,25.2,18.5,9.48,34.9,231.0,1.13,,,
2025-04-16 17:00:00+05:30,1.01,0.0,0.0,125.0,25.2,18.5,9.47,34.6,131.0,0.44,,,
2025-04-16 18:00:00+05:30,0.716,0.0,0.0,119.0,27.8,20.9,10.0,33.8,179.0,0.39,,,
2025-04-16 19:00:00+05:30,1.6,0.0,0.0,119.0,40.9,27.1,16.0,31.7,121.0,0.39,,,
2025-04-16 20:00:00+05:30,2.68,0.0,0.0,130.0,81.7,27.4,13.9,31.4,230.0,0.735,,,
2025-04-16 23:00:00+05:30,3.26,10.4,0.0165,186.0,178.0,32.2,5.93,29.6,275.0,1.44,,,
2025-04-17 00:00:00+05:30,3.04,11.2,0.0162,185.0,169.0,32.2,6.27,29.5,277.0,1.12,,,
2025-04-17 01:00:00+05:30,1.39,10.8,0.0168,190.0,178.0,34.4,6.15,28.4,277.0,0.88,,,
2025-04-17 02:00:00+05:30,1.52,10.3,0.016,185.0,171.0,35.1,4.13,28.2,277.0,0.993,,,
2025-04-17 03:00:00+05:30,1.45,10.7,0.0162,176.0,160.0,34.4,4.27,28.2,291.0,0.845,,,
2025-04-17 04:00:00+05:30,2.3,10.9,0.0164,188.0,182.0,43.7,4.42,26.9,135.0,2.19,,,
2025-04-17 05:00:00+05:30,2.34,10.5,0.0164,226.0,237.0,45.6,4.43,26.2,151.0,2.3,,,
2025-04-17 06:00:00+05:30,1.58,10.9,0.0162,232.0,137.0,39.1,3.29,26.0,204.0,1.06,,,
2025-04-17 07:00:00+05:30,1.53,10.3,0.0165,195.0,108.0,37.4,3.43,26.2,270.0,1.52,,,
2025-04-17 08:00:00+05:30,1.82,10.6,0.0162,159.0,184.0,34.8,5.38,27.1,276.0,2.07,,,
2025-04-17 09:00:00+05:30,1.77,9.88,0.0159,156.0,204.0,31.7,5.95,28.6,259.0,2.0,,,
2025-04-17 10:00:00+05:30,1.69,10.7,0.0163,154.0,133.0,28.2,6.07,30.6,261.0,1.95,,,
2025-04-17 11:00:00+05:30,0.872,9.04,0.0247,101.0,93.3,16.5,4.17,21.4,181.0,1.46,,,
2025-04-17 12:00:00+05:30,0.595,18.0,0.0339,159.0,82.6,22.2,7.15,33.0,294.0,2.64,,,
2025-04-17 13:00:00+05:30,0.257,18.1,0.0327,157.0,48.6,19.4,8.24,34.7,291.0,1.36,,,
2025-04-17 14:00:00+05:30,0.396,17.8,0.0324,154.0,38.2,17.7,9.45,35.3,296.0,1.59,,,
2025-04-17 15:00:00+05:30,0.0262,19.8,0.0425,145.0,31.7,16.7,8.9,36.2,198.0,0.745,,,
2025-04-17 16:00:00+05:30,0.821,17.2,0.0274,142.0,28.5,15.2,8.14,36.6,117.0,0.92,,,
2025-04-17 17:00:00+05:30,1.52,13.9,0.00981,132.0,26.8,15.8,6.2,36.2,132.0,1.26,,,
2025-04-17 18:00:00+05:30,1.71,16.7,0.0293,133.0,26.0,19.0,6.99,34.9,139.0,0.983,,,
2025-04-17 19:00:00+05:30,1.18,16.9,0.0309,142.0,29.1,24.5,6.52,32.7,115.0,0.458,,,
2025-04-17 20:00:00+05:30,1.92,18.4,0.0374,148.0,48.4,30.1,7.83,31.0,119.0,0.775,,,
2025-04-17 21:00:00+05:30,1.88,17.9,0.0323,163.0,70.8,33.7,15.0,29.9,104.0,0.663,,,
2025-04-17 22:00:00+05:30,2.23,22.8,0.0556,206.0,86.5,34.5,9.94,29.3,73.4,0.6,,,
2025-04-17 23:00:00+05:30,0.0448,20.4,0.0425,238.0,60.8,38.0,11.5,29.3,254.0,1.03,,,
2025-04-18 00:00:00+05:30,0.0409,18.2,0.0284,240.0,52.0,41.7,10.7,29.0,254.0,0.94,,,
2025-04-18 01:00:00+05:30,0.0314,18.2,0.0301,236.0,61.3,45.0,12.3,28.1,267.0,1.72,,,
2025-04-18 02:00:00+05:30,0.0437,19.3,0.0335,228.0,68.2,47.3,11.9,27.6,267.0,1.36,,,
2025-04-18 03:00:00+05:30,0.0383,19.8,0.031,211.0,74.9,49.0,12.3,26.9,272.0,1.76,,,
2025-04-18 04:00:00+05:30,0.0412,20.8,0.038,186.0,83.4,49.0,11.9,26.6,276.0,1.64,,,
2025-04-18 05:00:00+05:30,0.0373,14.8,0.0105,170.0,61.3,49.4,9.27,26.2,270.0,1.05,,,
2025-04-18 06:00:00+05:30,0.21,16.8,0.0212,154.0,62.7,50.1,8.81,26.0,220.0,0.708,,,
2025-04-18 07:00:00+05:30,1.39,17.3,0.0251,146.0,76.7,50.2,10.2,26.0,253.0,1.43,,,
2025-04-18 08:00:00+05:30,1.24,16.8,0.0256,146.0,76.9,47.3,13.2,27.0,267.0,1.62,,,
2025-04-18 09:00:00+05:30,1.35,17.3,0.0265,154.0,79.1,42.6,10.6,28.1,275.0,2.7,,,
2025-04-18 10:00:00+05:30,1.65,18.3,0.0329,159.0,72.2,38.8,10.2,29.5,283.0,2.68,,,
