Local Time,CO,NO,NOX,O3,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,NO2,SO2,NH3
2025-02-20 16:00:00+05:30,0.443,7.4,0.0269,79.2,196.0,48.3,27.9,113.0,2.4,,,,
2025-02-20 17:00:00+05:30,0.44,7.55,0.0261,73.6,186.0,49.3,26.9,92.5,2.5,,,,
2025-02-20 18:00:00+05:30,0.448,4.43,0.0192,73.7,145.0,54.3,24.9,91.0,2.45,,,,
2025-02-20 19:00:00+05:30,0.56,5.23,0.027,54.3,114.0,58.5,23.6,87.5,2.08,,,,
2025-02-20 20:00:00+05:30,0.583,2.68,0.0247,48.2,115.0,59.8,22.9,89.0,2.25,,,,
2025-02-20 21:00:00+05:30,0.588,4.68,0.0256,46.7,112.0,59.0,22.6,91.3,2.28,,,,
2025-02-20 22:00:00+05:30,0.723,12.0,0.0431,33.7,126.0,59.8,22.1,101.0,1.9,,,,
2025-02-20 23:00:00+05:30,0.783,16.6,0.0505,25.7,152.0,60.0,22.0,83.3,1.75,,,,
2025-02-21 00:00:00+05:30,0.673,5.4,0.0343,30.0,149.0,62.3,21.2,164.0,1.87,,,,
2025-02-21 01:00:00+05:30,0.31,3.05,0.0213,34.3,117.0,68.0,19.1,310.0,1.55,,,,
2025-02-21 02:00:00+05:30,0.41,2.75,0.026,,90.0,68.5,19.0,312.0,1.6,,,,
2025-02-21 03:00:00+05:30,0.4,2.7,0.0235,21.6,105.0,69.3,18.8,307.0,1.78,,,,
2025-02-21 04:00:00+05:30,0.6,3.73,0.0287,19.1,135.0,72.0,18.0,181.0,2.05,,,,
2025-02-21 05:00:00+05:30,0.525,2.28,0.0186,22.5,141.0,77.0,17.1,99.3,1.2,,,,
2025-02-21 06:00:00+05:30,0.668,2.93,0.0248,16.6,121.0,76.0,17.7,51.5,1.58,,,,
2025-02-21 07:00:00+05:30,0.737,9.07,0.0329,8.93,139.0,77.5,17.3,84.0,1.3,,,,
2025-02-21 08:00:00+05:30,1.17,46.0,0.065,4.95,159.0,81.0,17.2,84.5,1.15,,,,
2025-02-21 09:00:00+05:30,1.1,27.6,0.056,11.0,205.0,67.8,20.8,105.0,1.25,,,,
2025-02-21 10:00:00+05:30,0.953,16.0,0.0495,45.3,226.0,57.5,23.6,112.0,1.4,,,,
2025-02-21 11:00:00+05:30,0.948,13.4,0.0494,64.4,219.0,50.5,25.8,62.3,0.2,,,,
2025-02-21 12:00:00+05:30,0.78,6.25,0.0338,93.3,195.0,47.0,26.8,155.0,1.05,,,,
2025-02-21 13:00:00+05:30,0.897,4.78,0.0309,118.0,195.0,52.3,26.3,172.0,1.67,,,,
2025-02-21 14:00:00+05:30,0.678,2.38,0.0176,118.0,245.0,54.5,25.9,185.0,0.85,,,,
2025-02-21 15:00:00+05:30,,,,112.0,176.0,53.8,26.0,206.0,1.2,,,,
2025-02-21 16:00:00+05:30,0.478,1.95,0.0113,,147.0,55.3,25.7,245.0,1.3,,,,
2025-02-21 17:00:00+05:30,0.485,2.58,0.0106,94.9,134.0,58.8,24.5,288.0,1.98,,,,
2025-02-21 18:00:00+05:30,0.545,1.65,0.0113,87.5,135.0,63.3,23.4,275.0,1.7,,,,
2025-02-21 19:00:00+05:30,0.675,2.77,0.0193,64.3,150.0,68.7,21.9,248.0,1.53,,,,
2025-02-21 20:00:00+05:30,0.848,1.83,0.0242,42.2,171.0,74.0,20.8,242.0,1.4,,,,
2025-02-21 21:00:00+05:30,0.993,3.08,0.0269,23.4,180.0,79.3,20.0,234.0,1.4,,,,
2025-02-21 22:00:00+05:30,1.09,3.53,0.0286,15.2,191.0,82.8,19.3,262.0,1.4,,,,
2025-02-21 23:00:00+05:30,0.785,2.3,0.0221,20.2,189.0,82.8,18.8,270.0,1.65,,,,
2025-02-22 00:00:00+05:30,0.605,2.2,0.0171,24.4,167.0,84.5,17.8,266.0,1.65,,,,
2025-02-22 01:00:00+05:30,0.5,2.1,0.013,22.9,123.0,88.5,16.6,271.0,1.55,,,,
2025-02-22 02:00:00+05:30,0.503,2.08,0.0125,,116.0,89.0,16.3,254.0,1.4,,,,
2025-02-22 03:00:00+05:30,0.35,2.2,0.0112,20.6,112.0,90.3,15.9,241.0,1.53,,,,
2025-02-22 04:00:00+05:30,0.468,1.78,0.0101,21.5,112.0,93.5,15.3,267.0,1.6,,,,
2025-02-22 05:00:00+05:30,0.45,2.48,0.0106,23.2,129.0,93.8,15.0,257.0,1.63,,,,
2025-02-22 06:00:00+05:30,0.433,2.43,0.0108,23.3,124.0,93.5,14.5,220.0,1.48,,,,
2025-02-22 07:00:00+05:30,0.493,3.88,0.0126,21.5,95.0,93.0,14.0,236.0,1.48,,,,
2025-02-22 08:00:00+05:30,0.57,9.93,0.0198,20.8,90.5,93.0,14.3,225.0,1.33,,,,
2025-02-22 09:00:00+05:30,0.593,6.98,0.0173,22.1,97.0,89.8,15.4,219.0,1.53,,,,
2025-02-22 10:00:00+05:30,0.645,8.33,0.0184,28.6,110.0,82.3,17.3,205.0,1.8,,,,
2025-02-22 11:00:00+05:30,0.64,5.65,0.0158,44.0,131.0,72.0,20.3,215.0,1.58,,,,
2025-02-22 12:00:00+05:30,0.525,4.83,0.0143,70.4,131.0,61.3,23.1,253.0,1.85,,,,
2025-02-22 13:00:00+05:30,0.517,2.38,0.0113,86.5,111.0,55.8,23.9,270.0,1.93,,,,
2025-02-22 14:00:00+05:30,0.415,3.18,0.012,94.5,91.8,54.3,24.3,230.0,1.58,,,,
2025-02-22 15:00:00+05:30,0.345,2.8,0.0108,91.1,80.8,48.3,25.4,198.0,1.3,,,,
2025-02-22 16:00:00+05:30,0.333,2.2,0.00968,89.1,68.3,48.8,25.2,249.0,1.75,,,,
2025-02-22 17:00:00+05:30,0.378,2.75,0.0126,86.9,68.8,50.0,25.1,261.0,1.88,,,,
2025-02-22 18:00:00+05:30,0.405,3.55,0.0158,81.6,70.8,52.0,23.8,217.0,1.75,,,,
2025-02-22 19:00:00+05:30,0.547,2.08,0.022,60.0,87.0,62.0,21.4,258.0,1.38,,,,
2025-02-22 20:00:00+05:30,0.758,2.95,0.0314,31.8,126.0,70.8,19.6,282.0,1.4,,,,
2025-02-22 21:00:00+05:30,0.828,2.8,0.033,26.8,171.0,71.0,19.1,284.0,1.53,,,,
2025-02-22 22:00:00+05:30,0.765,2.7,0.031,21.6,180.0,74.3,18.0,286.0,1.35,,,,
2025-02-22 23:00:00+05:30,0.813,3.23,0.0304,14.6,179.0,80.0,17.1,277.0,1.33,,,,
2025-02-23 00:00:00+05:30,0.66,3.2,0.0244,19.9,158.0,82.7,16.6,270.0,1.3,,,,
2025-02-23 01:00:00+05:30,0.85,25.9,0.0492,5.45,143.0,86.5,15.8,258.0,1.15,,,,
