Local Time,CO,NO,NOX,O3,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,NO2,NH3
2025-02-20 10:00:00+05:30,1.07,20.1,,16.1,64.5,22.4,17.8,175.0,3.38,,,,
2025-02-20 11:00:00+05:30,0.86,21.7,,32.5,59.8,26.9,18.7,150.0,4.15,,,,
2025-02-20 12:00:00+05:30,0.303,20.6,,45.0,53.8,26.2,20.3,157.0,5.25,,,,
2025-02-20 13:00:00+05:30,0.235,15.9,,76.8,51.5,26.1,20.9,174.0,5.63,,,,
2025-02-20 14:00:00+05:30,0.17,7.13,,113.0,50.8,16.4,21.3,172.0,5.73,,,,
2025-02-20 15:00:00+05:30,0.045,10.7,,124.0,49.0,11.9,21.5,179.0,5.53,,,,
2025-02-20 16:00:00+05:30,0.993,9.43,,116.0,47.0,12.9,19.2,164.0,5.23,,,,
2025-02-20 17:00:00+05:30,0.983,9.28,,92.7,49.0,10.0,18.4,162.0,5.13,,,,
2025-02-20 18:00:00+05:30,1.13,11.3,,87.6,52.0,12.5,17.7,153.0,4.65,,,,
2025-02-20 19:00:00+05:30,1.65,19.0,,60.0,54.3,14.4,17.0,141.0,3.65,,,,
2025-02-20 20:00:00+05:30,1.57,15.1,,54.8,55.8,13.4,16.6,146.0,4.33,,,,
2025-02-20 21:00:00+05:30,1.74,13.2,,49.3,55.0,15.2,16.4,149.0,3.18,,,,
2025-02-20 22:00:00+05:30,1.31,8.9,,31.3,55.8,18.0,16.1,139.0,2.4,,,,
2025-02-20 23:00:00+05:30,1.23,11.0,,22.0,55.8,17.5,15.9,143.0,2.25,,,,
2025-02-21 00:00:00+05:30,1.0,12.4,,22.0,57.7,17.8,15.7,168.0,2.33,,,,
2025-02-21 01:00:00+05:30,0.49,7.15,,31.2,61.5,12.4,14.6,295.0,1.4,,,,
2025-02-21 02:00:00+05:30,0.475,11.9,,24.9,61.8,11.0,14.3,290.0,0.95,,,,
2025-02-21 03:00:00+05:30,,13.4,,22.4,62.0,12.8,14.1,224.0,0.7,,,,
2025-02-21 04:00:00+05:30,1.19,6.65,,31.4,65.0,14.3,13.9,221.0,2.05,,,,
2025-02-21 05:00:00+05:30,1.31,15.5,,17.0,69.0,14.3,13.2,242.0,0.775,,,,
2025-02-21 06:00:00+05:30,1.49,13.5,,4.13,69.5,17.4,13.2,279.0,0.825,,,,
2025-02-21 07:00:00+05:30,1.94,65.3,,4.43,72.0,14.9,12.9,215.0,0.55,,,,
2025-02-21 08:00:00+05:30,2.18,38.6,,8.93,70.8,16.5,13.2,121.0,0.975,,,,
2025-02-21 09:00:00+05:30,2.22,42.7,,93.4,61.3,23.1,15.0,122.0,1.48,,,,
2025-02-21 10:00:00+05:30,0.975,35.6,,115.0,51.8,35.5,17.4,133.0,1.4,,,,
2025-02-21 11:00:00+05:30,0.71,27.5,,68.7,45.3,28.7,19.1,160.0,1.78,,,,
