Local Time,CO,NO,NO2,NOX,O3,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,SO2
2025-02-20 06:00:00+05:30,1.36,3.0,36.4,0.0218,5.0,126.0,74.3,19.3,204.0,0.475,,
2025-02-20 07:00:00+05:30,1.39,1.2,31.4,0.0177,8.25,123.0,74.8,19.3,298.0,0.3,,
2025-02-20 08:00:00+05:30,1.37,2.55,23.0,0.0143,19.0,107.0,72.8,20.2,191.0,0.3,,
2025-02-20 09:00:00+05:30,1.35,1.83,24.9,0.0142,26.6,96.0,66.5,22.4,291.0,0.775,,
2025-02-20 10:00:00+05:30,1.2,2.6,76.7,0.0429,37.8,113.0,58.5,25.5,315.0,1.7,,
2025-02-20 11:00:00+05:30,1.2,2.03,40.5,0.0224,57.5,120.0,53.5,27.5,291.0,1.03,,
2025-02-20 12:00:00+05:30,1.06,1.38,33.1,0.0188,75.9,95.0,48.3,29.4,258.0,1.93,,
2025-02-20 13:00:00+05:30,0.95,3.5,29.6,0.0186,76.3,67.5,48.5,29.7,240.0,2.18,,
2025-02-20 14:00:00+05:30,0.808,2.05,34.2,0.0198,80.3,61.0,46.0,31.4,267.0,2.5,,
2025-02-20 15:00:00+05:30,0.737,1.97,40.7,0.0232,92.3,76.3,46.0,31.8,281.0,2.0,,
2025-02-20 16:00:00+05:30,0.793,2.25,31.4,0.0185,85.6,78.0,45.5,31.4,247.0,1.85,,
2025-02-20 17:00:00+05:30,0.718,1.88,22.1,0.0133,82.4,67.0,48.8,30.2,256.0,1.6,,
2025-02-20 18:00:00+05:30,0.847,2.38,22.2,0.0138,64.5,50.0,52.0,27.9,288.0,0.625,,
2025-02-20 19:00:00+05:30,0.87,1.45,34.1,0.0193,47.1,56.5,58.5,25.4,212.0,0.3,,
2025-02-20 20:00:00+05:30,0.888,1.8,37.3,0.0213,39.6,65.5,59.5,23.8,272.0,0.325,,
2025-02-20 21:00:00+05:30,0.93,2.75,29.6,0.0179,50.5,63.0,59.5,23.6,262.0,0.8,,
2025-02-20 22:00:00+05:30,0.943,2.2,25.8,0.0155,55.7,72.0,61.3,22.9,267.0,2.58,,
2025-02-20 23:00:00+05:30,0.89,2.15,23.5,0.0142,52.9,56.0,63.3,22.0,305.0,0.775,,
2025-02-21 00:00:00+05:30,0.865,1.63,22.5,0.0133,51.9,38.0,61.0,22.0,284.0,0.567,,
2025-02-21 01:00:00+05:30,0.88,3.15,25.4,0.0161,31.7,50.0,71.5,20.0,240.0,0.95,,
2025-02-21 02:00:00+05:30,0.875,1.95,26.2,0.0155,34.6,48.5,69.8,20.3,278.0,0.325,,
2025-02-21 03:00:00+05:30,0.893,2.25,23.6,0.0144,47.5,58.5,66.3,21.0,261.0,0.375,,
2025-02-21 04:00:00+05:30,0.92,2.3,21.6,0.0134,30.0,67.0,73.3,18.8,205.0,0.3,,
2025-02-21 05:00:00+05:30,0.945,2.85,23.0,0.0145,21.8,64.0,75.8,18.1,249.0,0.3,,
2025-02-21 06:00:00+05:30,0.955,1.65,27.6,0.016,18.4,65.0,76.0,18.0,269.0,0.3,,
2025-02-21 07:00:00+05:30,0.965,2.63,24.5,0.0151,23.1,62.0,75.8,17.9,301.0,0.3,,
2025-02-21 08:00:00+05:30,0.998,5.1,25.6,0.0178,16.5,62.0,75.3,18.3,234.0,0.3,,
2025-02-21 09:00:00+05:30,1.06,6.78,24.5,0.0185,29.0,70.0,65.8,22.4,254.0,0.3,,
2025-02-21 10:00:00+05:30,1.02,12.2,88.8,0.0579,46.6,60.5,50.3,27.8,279.0,0.3,,
