Local Time,CO,NO,NO2,NOX,O3,PM25,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,SO2,NH3
2025-02-20 08:00:00+05:30,0.983,14.4,43.4,0.0347,6.68,42.0,91.0,16.7,167.0,0.775,,,
2025-02-20 09:00:00+05:30,1.2,27.1,57.4,0.0526,10.0,42.0,92.5,18.5,146.0,1.1,,,
2025-02-20 10:00:00+05:30,1.34,15.2,66.1,0.0475,28.6,39.0,73.5,21.0,189.0,1.53,,,
2025-02-20 11:00:00+05:30,1.1,10.3,46.7,0.0332,52.8,57.0,60.0,22.1,227.0,2.18,,,
2025-02-20 12:00:00+05:30,1.03,6.2,34.3,0.0233,74.9,39.0,52.5,23.5,237.0,2.78,,,
2025-02-20 13:00:00+05:30,0.88,4.75,24.2,0.0168,93.8,59.0,49.3,24.3,231.0,2.78,,,
2025-02-20 14:00:00+05:30,0.88,5.13,23.5,0.0167,105.0,39.0,48.8,24.5,240.0,2.88,,,
2025-02-20 15:00:00+05:30,0.878,4.13,24.2,0.0162,110.0,41.0,48.0,24.5,234.0,2.85,,,
2025-02-20 16:00:00+05:30,0.815,5.6,25.8,0.0183,105.0,38.0,48.3,24.2,239.0,2.7,,,
2025-02-20 17:00:00+05:30,0.833,5.3,26.1,0.0182,101.0,34.0,51.8,23.2,237.0,2.45,,,
2025-02-20 18:00:00+05:30,0.868,4.35,32.7,0.021,87.4,34.0,57.5,21.8,221.0,1.8,,,
2025-02-20 19:00:00+05:30,0.985,6.53,43.7,0.0285,65.7,38.0,62.3,20.6,219.0,1.65,,,
2025-02-20 20:00:00+05:30,1.11,4.13,53.1,0.0316,50.9,42.0,64.5,20.3,231.0,1.95,,,
